Entrez_ID,Gene_symbol,Gene_description,Gene_type,Scientific_name,Common_name,Tax_ID,Transcripts,Genomic_coordinates,Orientation,Proteins,Ensembl_Gene_ID
106888091,CENPN,centromere protein N,protein-coding,Calidris pugnax,ruff,198806,"XM_014942117.1,XM_014942118.1",NW_015090842.1: 5801588-5810753,plus,"XP_014797603.1,XP_014797604.1",ENSCPUG00000008631
106888237,ATMIN,ATM interactor,protein-coding,Calidris pugnax,ruff,198806,"XM_014942295.1,XM_014942296.1",NW_015090842.1: 5811746-5827454,plus,"XP_014797781.1,XP_014797782.1",ENSCPUG00000008633
106888114,PPP1R3E,protein phosphatase 1 regulatory subunit 3E,protein-coding,Calidris pugnax,ruff,198806,XM_014942141.1,NW_015090842.1: 5837307-5838114,plus,XP_014797627.1,
106888115,PKD1L2,polycystin 1 like 2,protein-coding,Calidris pugnax,ruff,198806,XM_014942142.1,NW_015090842.1: 5867458-5908467,minus,XP_014797628.1,ENSCPUG00000008641
106888277,BCO1,beta-carotene oxygenase 1,protein-coding,Calidris pugnax,ruff,198806,XM_014942394.1,NW_015090842.1: 5915601-5935099,plus,XP_014797880.1,ENSCPUG00000008657
106888183,GAN,gigaxonin,protein-coding,Calidris pugnax,ruff,198806,XM_014942215.1,NW_015090842.1: 5939151-5966536,plus,XP_014797701.1,ENSCPUG00000008662
106888116,CMIP,c-Maf inducing protein,protein-coding,Calidris pugnax,ruff,198806,XM_014942143.1,NW_015090842.1: 6074796-6139888,plus,XP_014797629.1,ENSCPUG00000008664
106888390,PLCG2,phospholipase C gamma 2,protein-coding,Calidris pugnax,ruff,198806,XM_014942591.1,NW_015090842.1: 6179574-6231428,plus,XP_014798077.1,ENSCPUG00000008674
106888189,SDR42E1,"short chain dehydrogenase/reductase family 42E, member 1",protein-coding,Calidris pugnax,ruff,198806,XM_014942222.1,NW_015090842.1: 6235286-6238867,minus,XP_014797708.1,ENSCPUG00000008682
106888192,HSD17B2,hydroxysteroid 17-beta dehydrogenase 2,protein-coding,Calidris pugnax,ruff,198806,XM_014942225.1,NW_015090842.1: 6257506-6268838,plus,XP_014797711.1,ENSCPUG00000008683
106888089,ARY2,"arylamine N-acetyltransferase, pineal gland isozyme NAT-3",protein-coding,Calidris pugnax,ruff,198806,"XM_014942114.1,XM_014942115.1,XM_014942116.1",NW_015090842.1: 6296699-6307755,plus,"XP_014797600.1,XP_014797601.1,XP_014797602.1",ENSCPUG00000008721
106888090,LOC106888090,uncharacterized LOC106888090,ncRNA,Calidris pugnax,ruff,198806,XR_001412032.1,NW_015090842.1: 6300503-6302869,minus,,
106888318,ARY1,"arylamine N-acetyltransferase, liver isozyme-like",protein-coding,Calidris pugnax,ruff,198806,XM_014942460.1,NW_015090842.1: 6310061-6313844,plus,XP_014797946.1,
106888319,ARYL,"arylamine N-acetyltransferase, pineal gland isozyme NAT-10",protein-coding,Calidris pugnax,ruff,198806,XM_014942461.1,NW_015090842.1: 6313854-6319370,plus,XP_014797947.1,ENSCPUG00000008723
106888320,MPHOSPH6,M-phase phosphoprotein 6,protein-coding,Calidris pugnax,ruff,198806,XM_014942462.1,NW_015090842.1: 6324011-6332459,minus,XP_014797948.1,ENSCPUG00000008724
106888289,CDH13,cadherin 13,protein-coding,Calidris pugnax,ruff,198806,XM_014942408.1,NW_015090842.1: 6503675-6969463,plus,XP_014797894.1,ENSCPUG00000008772
106888349,MLYCD,malonyl-CoA decarboxylase,protein-coding,Calidris pugnax,ruff,198806,XM_014942514.1,NW_015090842.1: 7149942-7168122,minus,XP_014798000.1,ENSCPUG00000008780
106888351,HSBP1,heat shock factor binding protein 1,protein-coding,Calidris pugnax,ruff,198806,"XM_014942515.1,XM_014942516.1",NW_015090842.1: 7245024-7248595,minus,"XP_014798001.1,XP_014798002.1",ENSCPUG00000008781
106888200,KCNG4,potassium voltage-gated channel modifier subfamily G member 4,protein-coding,Calidris pugnax,ruff,198806,"XM_014942236.1,XM_014942237.1",NW_015090842.1: 7282450-7301481,minus,"XP_014797722.1,XP_014797723.1",ENSCPUG00000008782
106888118,WFDC1,WAP four-disulfide core domain 1,protein-coding,Calidris pugnax,ruff,198806,XM_014942144.1,NW_015090842.1: 7343360-7381763,plus,XP_014797630.1,
106888385,ATP2C2,ATPase secretory pathway Ca2+ transporting 2,protein-coding,Calidris pugnax,ruff,198806,"XM_014942586.1,XM_014942587.1",NW_015090842.1: 7386778-7413905,plus,"XP_014798072.1,XP_014798073.1",ENSCPUG00000008838
106888358,TLDC1,"MTOR associated protein, eak-7 homolog",protein-coding,Calidris pugnax,ruff,198806,"XM_014942523.1,XM_014942524.1",NW_015090842.1: 7421116-7432086,minus,"XP_014798009.1,XP_014798010.1",ENSCPUG00000009557
106888264,COTL1,coactosin like F-actin binding protein 1,protein-coding,Calidris pugnax,ruff,198806,XM_014942361.1,NW_015090842.1: 7490491-7513939,minus,XP_014797847.1,ENSCPUG00000009559
106888263,KLHL36,kelch like family member 36,protein-coding,Calidris pugnax,ruff,198806,"XM_014942358.1,XM_014942359.1,XM_014942360.1",NW_015090842.1: 7505385-7538373,plus,"XP_014797844.1,XP_014797845.1,XP_014797846.1",ENSCPUG00000009562
106888119,USP10,ubiquitin specific peptidase 10,protein-coding,Calidris pugnax,ruff,198806,XM_014942145.1,NW_015090842.1: 7559758-7594660,plus,XP_014797631.1,ENSCPUG00000009564
106888346,CRISPLD2,cysteine rich secretory protein LCCL domain containing 2,protein-coding,Calidris pugnax,ruff,198806,XM_014942511.1,NW_015090842.1: 7604474-7636360,plus,XP_014797997.1,ENSCPUG00000009580
106888312,HNF4B,hepatocyte nuclear factor 4-beta-like,protein-coding,Calidris pugnax,ruff,198806,"XM_014942449.1,XM_014942451.1",NW_015090842.1: 7705968-7733983,plus,"XP_014797935.1,XP_014797937.1",ENSCPUG00000009581
106888313,ZDHHC7,zinc finger DHHC-type palmitoyltransferase 7,protein-coding,Calidris pugnax,ruff,198806,XM_014942452.1,NW_015090842.1: 7737069-7749396,minus,XP_014797938.1,ENSCPUG00000009582
106888097,LOC106888097,uncharacterized LOC106888097,protein-coding,Calidris pugnax,ruff,198806,XM_014942124.1,NW_015090842.1: 7767065-7774831,plus,XP_014797610.1,
106888120,FOXL1,forkhead box L1,protein-coding,Calidris pugnax,ruff,198806,XM_014942146.1,NW_015090842.1: 8068470-8113458,minus,XP_014797632.1,
106888214,LOC106888214,uncharacterized LOC106888214,ncRNA,Calidris pugnax,ruff,198806,XR_001412066.1,NW_015090842.1: 8113827-8116229,minus,,ENSCPUG00000009596
106888195,FOXC2,forkhead box C2,protein-coding,Calidris pugnax,ruff,198806,XM_014942228.1,NW_015090842.1: 8128872-8130680,minus,XP_014797714.1,ENSCPUG00000009601
106888393,MTHFSD,methenyltetrahydrofolate synthetase domain containing,protein-coding,Calidris pugnax,ruff,198806,"XM_014942596.1,XM_014942597.1",NW_015090842.1: 8137044-8152908,plus,"XP_014798082.1,XP_014798083.1",ENSCPUG00000009602
106888121,FOXF1,forkhead box F1,protein-coding,Calidris pugnax,ruff,198806,XM_014942148.1,NW_015090842.1: 8164579-8167717,minus,XP_014797634.1,
106888201,LOC106888201,uncharacterized LOC106888201,ncRNA,Calidris pugnax,ruff,198806,XR_001412057.1,NW_015090842.1: 8167928-8188254,plus,,
106888083,IRF8,interferon regulatory factor 8,protein-coding,Calidris pugnax,ruff,198806,"XM_014942103.1,XM_014942104.1",NW_015090842.1: 8406272-8418585,minus,"XP_014797589.1,XP_014797590.1",ENSCPUG00000009605
106888098,DUSP22A-like,dual specificity protein phosphatase 22-A-like,protein-coding,Calidris pugnax,ruff,198806,"XM_014942125.1,XM_014942126.1",NW_015090842.1: 8422753-8437549,minus,"XP_014797611.1,XP_014797612.1",
106888317,COX4I1,"cytochrome c oxidase subunit 4 isoform 1, mitochondrial",protein-coding,Calidris pugnax,ruff,198806,"XM_014942458.1,XM_014942459.1",NW_015090842.1: 8439924-8443817,minus,"XP_014797944.1,XP_014797945.1",ENSCPUG00000009608
106888366,EMC8,ER membrane protein complex subunit 8,protein-coding,Calidris pugnax,ruff,198806,XM_014942548.1,NW_015090842.1: 8443927-8453324,plus,XP_014798034.1,ENSCPUG00000009609
106888178,GINS2,GINS complex subunit 2,protein-coding,Calidris pugnax,ruff,198806,XM_014942210.1,NW_015090842.1: 8466368-8471063,plus,XP_014797696.1,
106888375,GSE1,Gse1 coiled-coil protein,protein-coding,Calidris pugnax,ruff,198806,XM_014942572.1,NW_015090842.1: 8474150-8494105,minus,XP_014798058.1,
106888327,KIAA0513,KIAA0513 ortholog,protein-coding,Calidris pugnax,ruff,198806,"XM_014942475.1,XM_014942476.1,XM_014942477.1,XM_014942478.1,XM_014942479.1,XM_014942480.1,XM_014942481.1,XM_014942482.1,XM_014942484.1,XM_014942485.1",NW_015090842.1: 8668002-8696958,minus,"XP_014797961.1,XP_014797962.1,XP_014797963.1,XP_014797964.1,XP_014797965.1,XP_014797966.1,XP_014797967.1,XP_014797968.1,XP_014797970.1,XP_014797971.1",ENSCPUG00000009624
106888265,FBXO31,F-box protein 31,protein-coding,Calidris pugnax,ruff,198806,"XM_014942362.1,XM_014942363.1,XM_014942364.1",NW_015090842.1: 8708553-8730545,minus,"XP_014797848.1,XP_014797849.1,XP_014797850.1",ENSCPUG00000009625
106888368,MAP1LC3B,microtubule associated protein 1 light chain 3 beta,protein-coding,Calidris pugnax,ruff,198806,XM_014942556.1,NW_015090842.1: 8741609-8747203,plus,XP_014798042.1,ENSCPUG00000009675
106888337,ZCCHC14,zinc finger CCHC-type containing 14,protein-coding,Calidris pugnax,ruff,198806,XM_014942494.1,NW_015090842.1: 8749750-8805046,minus,XP_014797980.1,
106888398,JPH3,junctophilin 3,protein-coding,Calidris pugnax,ruff,198806,XM_014942606.1,NW_015090842.1: 8844775-8885698,plus,XP_014798092.1,ENSCPUG00000009682
106888372,KLHDC4,kelch domain containing 4,protein-coding,Calidris pugnax,ruff,198806,XM_014942563.1,NW_015090842.1: 8890637-8919746,minus,XP_014798049.1,ENSCPUG00000009689
106888268,SLC7A5,large neutral amino acids transporter small subunit 1,protein-coding,Calidris pugnax,ruff,198806,XM_014942373.1,NW_015090842.1: 8938536-8979141,minus,XP_014797859.1,ENSCPUG00000009691
106888294,CA5A,carbonic anhydrase 5A,protein-coding,Calidris pugnax,ruff,198806,"XM_014942416.1,XM_014942417.1",NW_015090842.1: 8988463-9012086,minus,"XP_014797902.1,XP_014797903.1",ENSCPUG00000009692
106888296,LOC106888296,uncharacterized LOC106888296,ncRNA,Calidris pugnax,ruff,198806,XR_001412083.1,NW_015090842.1: 9004507-9010409,plus,,
106888073,BANP,BTG3 associated nuclear protein,protein-coding,Calidris pugnax,ruff,198806,XM_014942091.1,NW_015090842.1: 9033387-9169201,plus,XP_014797577.1,ENSCPUG00000009697
106888099,ZNF469,zinc finger protein 469,protein-coding,Calidris pugnax,ruff,198806,XM_014942127.1,NW_015090842.1: 9421324-9435259,plus,XP_014797613.1,
106888379,ZFPM1,"zinc finger protein, FOG family member 1",protein-coding,Calidris pugnax,ruff,198806,XM_014942579.1,NW_015090842.1: 9450349-9478907,plus,XP_014798065.1,
106888197,CIDEC,cell death inducing DFFA like effector c,protein-coding,Calidris pugnax,ruff,198806,"XM_014942229.1,XM_014942231.1",NW_015090842.1: 9480100-9482094,minus,"XP_014797715.1,XP_014797717.1",ENSCPUG00000009710
106888362,ZC3H18,zinc finger CCCH-type containing 18,protein-coding,Calidris pugnax,ruff,198806,"XM_014942535.1,XM_014942536.1,XM_014942537.1,XM_014942538.1,XM_014942539.1,XM_014942540.1,XM_014942542.1,XM_014942543.1,XM_014942544.1",NW_015090842.1: 9486749-9536707,plus,"XP_014798021.1,XP_014798022.1,XP_014798023.1,XP_014798024.1,XP_014798025.1,XP_014798026.1,XP_014798028.1,XP_014798029.1,XP_014798030.1",ENSCPUG00000009711
106888123,CYBA,cytochrome b-245 light chain,protein-coding,Calidris pugnax,ruff,198806,XM_014942150.1,NW_015090842.1: 9547249-9548776,minus,XP_014797636.1,ENSCPUG00000009712
106888191,MVD,mevalonate diphosphate decarboxylase,protein-coding,Calidris pugnax,ruff,198806,XM_014942224.1,NW_015090842.1: 9550611-9553370,minus,XP_014797710.1,ENSCPUG00000009713
106888357,RNF166,ring finger protein 166,protein-coding,Calidris pugnax,ruff,198806,XM_014942522.1,NW_015090842.1: 9557878-9564100,minus,XP_014798008.1,ENSCPUG00000009714
106888321,CTU2,cytosolic thiouridylase subunit 2,protein-coding,Calidris pugnax,ruff,198806,"XM_014942463.1,XR_001412089.1",NW_015090842.1: 9564169-9568017,plus,XP_014797949.1,ENSCPUG00000009715
106888124,PIEZO1,piezo type mechanosensitive ion channel component 1,protein-coding,Calidris pugnax,ruff,198806,XM_014942151.1,NW_015090842.1: 9567920-9586460,minus,XP_014797637.1,ENSCPUG00000009716
106888125,CDT1,chromatin licensing and DNA replication factor 1,protein-coding,Calidris pugnax,ruff,198806,XM_014942152.1,NW_015090842.1: 9596535-9600723,plus,XP_014797638.1,ENSCPUG00000009717
106888310,APRT,adenine phosphoribosyltransferase,protein-coding,Calidris pugnax,ruff,198806,XM_014942447.1,NW_015090842.1: 9602261-9607756,minus,XP_014797933.1,
106888309,GALNS,galactosamine (N-acetyl)-6-sulfatase,protein-coding,Calidris pugnax,ruff,198806,XM_014942445.1,NW_015090842.1: 9612845-9661276,minus,XP_014797931.1,ENSCPUG00000009719
106888171,TRAPPC2L,trafficking protein particle complex subunit 2L,protein-coding,Calidris pugnax,ruff,198806,XM_014942205.1,NW_015090842.1: 9661323-9665264,plus,XP_014797691.1,ENSCPUG00000009720
106888209,PABPN1L,"PABPN1 like, cytoplasmic",protein-coding,Calidris pugnax,ruff,198806,XM_014942244.1,NW_015090842.1: 9668624-9672502,minus,XP_014797730.1,
106888072,CBFA2T3,protein CBFA2T3-like,protein-coding,Calidris pugnax,ruff,198806,"XM_014942088.1,XM_014942090.1",NW_015090842.1: 9696891-9699541,minus,"XP_014797574.1,XP_014797576.1",
106888364,ACSF3,acyl-CoA synthetase family member 3,protein-coding,Calidris pugnax,ruff,198806,XM_014942545.1,NW_015090842.1: 9773330-9839589,plus,XP_014798031.1,
106888126,CDH15,cadherin 15,protein-coding,Calidris pugnax,ruff,198806,XM_014942153.1,NW_015090842.1: 9846025-9850732,plus,XP_014797639.1,ENSCPUG00000009734
106888202,SLC22A31,solute carrier family 22 member 31,protein-coding,Calidris pugnax,ruff,198806,XM_014942239.1,NW_015090842.1: 9850782-9854021,minus,XP_014797725.1,
106888238,ANKRD11,ankyrin repeat domain containing 11,protein-coding,Calidris pugnax,ruff,198806,XM_014942297.1,NW_015090842.1: 9858839-10025931,minus,XP_014797783.1,ENSCPUG00000009748
106888325,SPG7,"SPG7 matrix AAA peptidase subunit, paraplegin",protein-coding,Calidris pugnax,ruff,198806,XM_014942469.1,NW_015090842.1: 10042747-10075623,plus,XP_014797955.1,ENSCPUG00000009754
106888262,RPL13,ribosomal protein L13,protein-coding,Calidris pugnax,ruff,198806,XM_014942356.1,NW_015090842.1: 10076914-10082157,plus,XP_014797842.1,ENSCPUG00000010433
106888160,CPNE7,copine 7,protein-coding,Calidris pugnax,ruff,198806,XM_014942195.1,NW_015090842.1: 10083885-10092247,plus,XP_014797681.1,ENSCPUG00000010435
106888185,SULT2B1,sulfotransferase family cytosolic 2B member 1-like,protein-coding,Calidris pugnax,ruff,198806,"XM_014942218.1,XM_014942219.1",NW_015090842.1: 10094914-10097611,minus,"XP_014797704.1,XP_014797705.1",ENSCPUG00000010436
106888199,DPEP1,dipeptidase 1,protein-coding,Calidris pugnax,ruff,198806,"XM_014942233.1,XM_014942234.1,XM_014942235.1",NW_015090842.1: 10097985-10102081,plus,"XP_014797719.1,XP_014797720.1,XP_014797721.1",ENSCPUG00000010437
106888378,CHMP1A,charged multivesicular body protein 1A,protein-coding,Calidris pugnax,ruff,198806,XM_014942578.1,NW_015090842.1: 10102827-10108719,minus,XP_014798064.1,ENSCPUG00000010438
106888166,CDK10,cyclin dependent kinase 10,protein-coding,Calidris pugnax,ruff,198806,XM_014942200.1,NW_015090842.1: 10108999-10112879,plus,XP_014797686.1,ENSCPUG00000010439
106888187,SPATA2L,spermatogenesis associated 2 like,protein-coding,Calidris pugnax,ruff,198806,XM_014942220.1,NW_015090842.1: 10113160-10114866,minus,XP_014797706.1,ENSCPUG00000010440
106888184,VPS9D1,VPS9 domain containing 1,protein-coding,Calidris pugnax,ruff,198806,"XM_014942216.1,XM_014942217.1",NW_015090842.1: 10114986-10120078,minus,"XP_014797702.1,XP_014797703.1",ENSCPUG00000010441
106888127,ZNF276,zinc finger protein 276,protein-coding,Calidris pugnax,ruff,198806,XM_014942154.1,NW_015090842.1: 10120447-10128619,plus,XP_014797640.1,ENSCPUG00000010442
106888343,FANCA,FA complementation group A,protein-coding,Calidris pugnax,ruff,198806,"XM_014942507.1,XM_014942508.1",NW_015090842.1: 10128596-10165995,minus,"XP_014797993.1,XP_014797994.1",ENSCPUG00000010443
106888179,SPIRE2,spire type actin nucleation factor 2,protein-coding,Calidris pugnax,ruff,198806,XM_014942211.1,NW_015090842.1: 10172222-10178751,plus,XP_014797697.1,ENSCPUG00000010445
106888128,TCF25,transcription factor 25,protein-coding,Calidris pugnax,ruff,198806,XM_014942156.1,NW_015090842.1: 10180264-10199032,plus,XP_014797642.1,
106888292,MC1R,melanocortin 1 receptor,protein-coding,Calidris pugnax,ruff,198806,XM_014942412.1,NW_015090842.1: 10201411-10202590,plus,XP_014797898.1,ENSCPUG00000010638
106888290,TUBB3,tubulin beta chain-like,protein-coding,Calidris pugnax,ruff,198806,XM_014942410.1,NW_015090842.1: 10204284-10206293,plus,XP_014797896.1,ENSCPUG00000010639
106888129,DEF8,differentially expressed in FDCP 8 homolog,protein-coding,Calidris pugnax,ruff,198806,XM_014942157.1,NW_015090842.1: 10215487-10221260,plus,XP_014797643.1,
106888193,DBNDD1,dysbindin domain containing 1,protein-coding,Calidris pugnax,ruff,198806,XM_014942226.1,NW_015090842.1: 10221705-10224267,minus,XP_014797712.1,ENSCPUG00000010642
106888093,GAS8,growth arrest specific 8,protein-coding,Calidris pugnax,ruff,198806,"XM_014942120.1,XM_014942121.1",NW_015090842.1: 10225653-10233331,plus,"XP_014797606.1,XP_014797607.1",ENSCPUG00000010643
106888094,CDH1-like,cadherin-1-like,protein-coding,Calidris pugnax,ruff,198806,XM_014942122.1,NW_015090842.1: 10233306-10236723,minus,XP_014797608.1,
106888173,CDH3,B-cadherin-like,protein-coding,Calidris pugnax,ruff,198806,XM_014942206.1,NW_015090842.1: 10239587-10243967,plus,XP_014797692.1,ENSCPUG00000010645
106888384,CDH1,cadherin-1-like,protein-coding,Calidris pugnax,ruff,198806,XM_014942585.1,NW_015090842.1: 10244665-10255836,plus,XP_014798071.1,ENSCPUG00000011015
106888377,TANGO6,transport and golgi organization 6 homolog,protein-coding,Calidris pugnax,ruff,198806,XM_014942577.1,NW_015090842.1: 10257673-10284040,plus,XP_014798063.1,ENSCPUG00000011016
106888175,HAS3,hyaluronan synthase 3,protein-coding,Calidris pugnax,ruff,198806,XM_014942208.1,NW_015090842.1: 10288043-10291005,plus,XP_014797694.1,ENSCPUG00000011017
106888177,CHTF8,chromosome transmission fidelity factor 8,protein-coding,Calidris pugnax,ruff,198806,XM_014942209.1,NW_015090842.1: 10291294-10292959,minus,XP_014797695.1,
106888180,UTP4,UTP4 small subunit processome component,protein-coding,Calidris pugnax,ruff,198806,XM_014942213.1,NW_015090842.1: 10292997-10298112,plus,XP_014797699.1,ENSCPUG00000011019
106888174,SNTB2,syntrophin beta 2,protein-coding,Calidris pugnax,ruff,198806,XM_014942207.1,NW_015090842.1: 10298900-10306709,plus,XP_014797693.1,ENSCPUG00000011020
106888159,VPS4A,vacuolar protein sorting 4 homolog A,protein-coding,Calidris pugnax,ruff,198806,XM_014942194.1,NW_015090842.1: 10308502-10311821,plus,XP_014797680.1,
106888161,COG8,component of oligomeric golgi complex 8,protein-coding,Calidris pugnax,ruff,198806,XM_014942196.1,NW_015090842.1: 10313297-10316571,minus,XP_014797682.1,
106888162,NIP7,nucleolar pre-rRNA processing protein NIP7,protein-coding,Calidris pugnax,ruff,198806,XM_014942197.1,NW_015090842.1: 10316713-10317944,plus,XP_014797683.1,ENSCPUG00000011023
106888354,TMED6,transmembrane p24 trafficking protein 6,protein-coding,Calidris pugnax,ruff,198806,XM_014942520.1,NW_015090842.1: 10318276-10321544,minus,XP_014798006.1,ENSCPUG00000011024
106888353,TERF2,telomeric repeat binding factor 2,protein-coding,Calidris pugnax,ruff,198806,"XM_014942518.1,XM_014942519.1",NW_015090842.1: 10321662-10330873,minus,"XP_014798004.1,XP_014798005.1",ENSCPUG00000011025
106888329,CYB5B,cytochrome b5,protein-coding,Calidris pugnax,ruff,198806,XM_014942486.1,NW_015090842.1: 10336543-10349434,plus,XP_014797972.1,ENSCPUG00000011026
